,time_ind,signal,detected_offline,detected_value_rt,flag,first_detection_time
0,50,1.2321782652717228,0.0,0.0,False,
1,51,1.2569605186294028,0.0,0.0,False,
2,52,1.2908612947446894,0.0,0.0,False,
3,53,1.3053810711593958,0.0,0.0,False,
4,54,1.2859794891650151,0.0,0.0,False,
5,55,1.2669634491034916,0.014084507042253521,0.0,False,
6,56,1.260159828615794,0.014084507042253521,0.0,False,
7,57,1.2530826474198944,0.014084507042253521,0.0,False,
8,58,1.250240106739839,0.014084507042253521,0.0,False,
9,59,1.2371600535272227,0.014084507042253521,0.0,False,
10,60,1.2596458220982194,0.014084507042253521,0.0,False,
11,61,1.2566562530221483,0.04225352112676056,0.0,False,
12,62,1.2683342047463166,0.04225352112676056,0.0,False,
13,63,1.274003370017482,0.04225352112676056,0.001006036217303823,False,
14,64,1.2510837686806549,0.04225352112676056,0.0018779342723004694,False,
15,65,1.3103408172426194,0.04225352112676056,0.002640845070422535,False,
16,66,1.348605514225014,0.04225352112676056,0.0033140016570008288,False,
17,67,1.4347484608407963,0.056338028169014086,0.003912363067292645,False,
18,68,1.4388655801204462,0.07042253521126761,0.004447739065974796,False,
19,69,1.3833291277657214,0.07042253521126761,0.004929577464788732,False,
20,70,1.4007488446973098,0.08450704225352113,0.0053655264922870555,False,
21,71,1.3861508405880605,0.08450704225352113,0.005761843790012804,False,
22,72,1.3843674618784225,0.08450704225352113,0.0061236987140232705,False,
23,73,1.3528909204002375,0.08450704225352113,0.006455399061032864,False,
24,74,1.3034191883017165,0.08450704225352113,0.006760563380281691,False,
25,75,1.2290989338619966,0.08450704225352113,0.007042253521126762,False,
26,76,1.2180450358185784,0.08450704225352113,0.0073030777256129385,False,
27,77,1.2817749629231092,0.08450704225352113,0.007545271629778674,False,
28,78,1.2551169079494324,0.08450704225352113,0.0077707625060709105,False,
29,79,1.2459562069558987,0.08450704225352113,0.007981220657276997,False,
30,80,1.248622418853844,0.08450704225352113,0.008450704225352114,False,
31,81,1.2953423005514995,0.08450704225352113,0.008920187793427231,False,
32,82,1.4128298458094712,0.08450704225352113,0.009389671361502348,False,
33,83,1.486859047328959,0.08450704225352113,0.009859154929577462,False,
34,84,1.5012284526135076,0.08450704225352113,0.01032863849765258,False,
35,85,1.5542322553734018,0.08450704225352113,0.010798122065727696,False,
36,86,1.6416614308290467,0.08450704225352113,0.011267605633802812,False,
37,87,1.641539721031446,0.08450704225352113,0.011737089201877932,False,
38,88,1.6478686998836791,0.08450704225352113,0.012206572769953048,False,
39,89,1.6761881550889421,0.08450704225352113,0.012676056338028164,False,
40,90,1.7147220824185212,0.08450704225352113,0.013145539906103284,False,
41,91,1.724342856780908,0.08450704225352113,0.0136150234741784,False,
42,92,1.7377336246424882,0.08450704225352113,0.014084507042253518,False,
43,93,1.753017303803866,0.08450704225352113,0.014084507042253518,False,
44,94,1.7774125225911026,0.08450704225352113,0.0136150234741784,False,
45,95,1.7735100045315313,0.08450704225352113,0.013145539906103284,False,
46,96,1.7925909111213876,0.08450704225352113,0.012676056338028168,False,
47,97,1.7932562756068418,0.08450704225352113,0.01220657276995305,False,
48,98,1.786343867683894,0.08450704225352113,0.011737089201877934,False,
49,99,1.7835961081195413,0.08450704225352113,0.011267605633802818,False,
50,100,1.7920758540223547,0.08450704225352113,0.0107981220657277,False,
51,101,1.7904127069357396,0.08450704225352113,0.010328638497652583,False,
52,102,1.7902111201749484,0.08450704225352113,0.009859154929577464,False,
53,103,1.8093626728425127,0.07042253521126761,0.009389671361502348,False,
54,104,1.803628054765598,0.07042253521126761,0.008920187793427231,False,
55,105,1.8356902873728749,0.07042253521126761,0.008450704225352112,False,
56,106,1.8281254035792358,0.07042253521126761,0.007981220657276996,False,
57,107,1.833432628049064,0.07042253521126761,0.007511737089201878,False,
58,108,1.8364091815391912,0.07042253521126761,0.007042253521126761,False,
59,109,1.8446369538908747,0.056338028169014086,0.006572769953051644,False,
60,110,1.847009158859354,0.056338028169014086,0.006103286384976526,False,
61,111,1.8494413748984986,0.04225352112676056,0.005633802816901409,False,
62,112,1.84754449629179,0.04225352112676056,0.005164319248826292,False,
63,113,1.845568032687121,0.04225352112676056,0.004694835680751174,False,
64,114,1.8563278198242066,0.04225352112676056,0.004225352112676056,False,
65,115,1.8608295252001215,0.028169014084507043,0.003755868544600939,False,
66,116,1.8577477041778643,0.028169014084507043,0.003286384976525822,False,
67,117,1.8401228326093924,0.028169014084507043,0.0028169014084507044,False,
68,118,1.8365930175177574,0.028169014084507043,0.002347417840375587,False,
69,119,1.8341969279474666,0.028169014084507043,0.0018779342723004694,False,
